787,-1149,515,1042,-1493,534,1082,274,217,-2409,-631,3753,-1883,-3531,1708,
-448,-310,807,-1004,2028,-812,-2404,3419,-1326,-2090,1287,1109,-482,-1799,2250,
140,925,-1235,635,1625,-1141,-1547,264,839,204,-3095,129,4263,-1291,-3691,
617,-1145,2182,142,-2976,1181,257,-429,-1258,370,2703,-2668,200,2742,-2547,
380,-1270,1471,-1289,802,904,-1132,-677,91,1880,-2148,-1511,4198,-1987,-2198,
1225,-1384,975,-662,444,2383,-3153,1258,-819,-1215,947,-1620,2974,-1111,-1778,
-289,876,-1205,847,-77,222,1795,-4101,1058,3009,-3074,-776,1148,1712,-2074,
366,-1000,1814,-1071,895,-1281,-1251,3633,-1766,-2367,1377,1357,-213,-2303,1892,
302,233,-916,1993,-1917,949,123,-1309,1699,-124,1731,-4284,516,3998,-4572,
-475,3489,-288,-2835,582,3274,-2784,-1059,3220,-1384,-791,855,242,-440,-553,
-1066,736,92,-459,1952,-2428,42,2078,-536,-1522,-1816,2510,432,-3194,2294,
334,24,-517,635,-838,1142,-362,-814,1659,-1236,2668,-3710,-381,4522,-3760,
-2213,3485,881,-2935,-314,3690,-2291,-1847,2566,-209,-1627,749,963,-609,-675,
-1075,-331,1141,-1080,834,-163,-14,2763,-2864,-1764,3164,228,-3014,-1130,3282,
-460,841,-346,-252,846,-887,802,-128,-358,2660,-4517,315,4147,-2347,-2719,
-490,-305,1373,-2045,1885,554,867,-1089,-2885,1984,540,-2731,1424,1493,-1317,
640,-234,538,-1349,231,876,-1202,1205,-417,1611,-2410,-1506,5446,-2235,-4731,
3237,2424,-2441,-2105,3326,248,-2834,1690,1279,-1833,-81,1228,-170,-686,-163,
955,27,-1004,1017,-620,972,1224,-2384,-244,1149,923,-2921,-1061,4518,-2086,
1883,-842,-526,754,-1056,1614,-1387,-1,1722,118,-278,-3293,3539,1147,-5658,
1938,2833,-1873,-1845,2117,1572,-2945,307,2565,-1971,-597,1636,-92,-711,-215,
-1083,973,50,-1165,1030,-451,1466,1257,-4001,1219,1760,-1863,-2180,1500,2823,
