-1337,973,283,1964,-1472,-3266,1853,3489,-3883,-2490,1084,5406,-3404,-3306,3572,1375,-580,-3446,1889,2530,-2298,-1148,939,1511,-428,-1230,8
436,-1024,421,9,-803,2337,22,771,-5954,955,7956,-4117,-5942,1685,6105,-1933,-4921,1340,4788,-1739,-2647,796,2113,-1494,-2529,2702,-80
2046,1762,-3561,-2521,2035,1486,-3154,1301,2247,-2505,228,1281,1071,-3244,1275,1773,-1694,211,-34,467,-58,-562,173,1204,-1357,284,1062
-1425,1013,135,516,3307,-5403,-130,1266,849,-2520,-1637,5104,156,-4178,-430,4036,-408,-2400,-336,2433,370,-2749,1570,-120,797,-695,-1696
291,-373,392,-313,2014,-2414,-2535,1057,5015,-6767,-158,4184,-69,-3724,1194,3685,-3532,-1068,3363,-1043,-1002,-653,2174,-501,-1580,1779,-665
1912,397,-483,-3216,2347,1678,-4280,35,3130,603,-4315,3678,459,-1396,-1455,2808,-646,-1421,540,609,326,-1130,1077,591,-1979,1860,-610
-532,680,60,-534,1030,-891,3176,-3834,-603,2561,3057,-7948,2029,4266,-1636,-4272,3595,1951,-3658,343,2671,-1482,-229,-822,2533,-2317,644
-1265,940,539,1103,-3524,1081,2580,-4441,-227,2454,1321,-4134,2128,2014,-2617,450,1094,109,-1525,1518,-390,240,-725,870,281,-1019,570
-2517,2140,-1874,1040,49,-1501,1752,465,1193,-5771,2277,5861,-5193,-3998,4993,1357,-4840,1184,3282,-1399,-2754,2926,746,-2251,637,803,-291
-326,-2920,568,2199,-2984,-1637,3050,-308,-622,-1103,4032,-3986,1190,730,-392,36,-691,1046,-896,961,-184,-162,587,-927,916,-872,1014
1669,-1977,958,-1428,1937,-851,-664,1287,-601,3789,-6333,1900,2761,-700,-6223,4526,1805,-4303,-582,4589,-1167,-3042,2449,904,-1810,289,214
2112,1247,-3165,-954,2216,-1349,-2132,1112,2883,-2215,-1435,2691,457,-3318,2610,-850,1099,-1825,1040,874,-1531,649,385,342,-201,-1276,1771
-2127,948,267,-309,-658,68,1153,2286,-4581,5071,2197,-7379,2518,3716,-195,-5959,3148,3960,-2132,-2947,1249,3142,-2055,-1334,451,2256,-1161
-1001,1402,-1495,1429,-967,1050,2110,-3427,-2315,4504,233,-5315,1150,4945,-4480,164,1298,2027,-4314,2014,1574,-1801,-49,657,430,-924,-28
-379,1469,238,1412,-3685,472,3140,-3288,-1455,2376,1651,-3739,540,3537,-2490,-671,1100,962,-1824,536,1431,-1143,-42,-564,3029,-2642,1007
944,-839,-401,1306,186,2112,-4570,576,4100,-4156,-1942,3130,1342,-3948,1744,1497,-574,-2467,3147,-288,-1897,1167,-295,1556,-2261,819,940
-109,-859,1092,-1534,2648,-2630,2857,-923,-2000,-424,4926,-3625,-3889,3810,1508,-2598,-1041,3315,-926,-2541,3152,-434,-607,-1898,3696,-1416,-762
859,-1091,167,1367,905,-1134,-3141,2424,2443,-3719,-2231,5164,-820,-3698,2196,1707,-1597,-2232,3466,-435,-1394,610,580,-395,-375,338,1591
306,12,-131,-299,364,3291,-4267,-858,2763,2645,-7836,3175,3463,-2450,-2854,2848,1642,-3774,955,2101,-1493,-133,-557,3062,-2415,-41,-189
-1771,2134,411,1619,-2345,-1924,3319,-723,-2569,-617,4938,-3189,-887,1430,2230,-3581,742,2042,-1611,-215,361,1204,-1131,-362,1860,-1814,1362
417,707,-550,285,-798,4006,-2877,-1379,654,3622,-6412,1981,2534,-363,-3273,2609,1317,-2787,396,1854,-1410,430,-1047,2081,-1587,-88,909
2012,-1050,-2065,339,3269,-2860,-3204,4638,-182,-2025,-1397,5036,-3096,-589,1494,483,-1382,-755,2365,-1064,-515,446,625,-15,-1591,2347,-1557
-1506,1382,-646,173,-186,1156,1893,-5991,2131,4259,-2546,-6166,6592,1792,-4585,-1930,6513,-2467,-2577,1685,1438,-1763,-158,715,1218,-2680,1548
-344,943,-1422,1839,-2800,2756,-1624,1302,-1857,1818,1902,-4834,546,4582,-1936,-5220,3303,3361,-3796,-602,2298,1630,-4447,2551,1082,-1283,-1012
-1610,1495,1223,1263,-4997,592,2613,-1956,-872,1950,998,-3886,2642,1164,-2200,592,-195,2023,-3297,2331,-64,-142,-1005,257,1273,-800,-448
